Slovak,Ukrainian
poviem,Я скажу
nemôžeš,ти не можеш
dve,два
ku,до
skôr,раніше
človek,людина
ktorí,ВООЗ
radšej,швидше
doktor,лікар
zlé,погано
nechaj,залишити це
páči,мені подобається
myslela,вона мала на увазі
pozor,УВАГА
auto,автомобіль
nami,нами
dúfam,Я сподіваюся
skoro,майже
čože,що
ňou,нею
nemá,не має
proti,проти
nemal,він не мав
neskôr,пізніше
jednu,один
iné,інші
odtiaľto,звідси
hovorím,кажу я
zabiť,вбивати
nad,вище
hovoril,він говорив
prvý,перший
vami,тобою
svojho,свій власний
musíte,ви повинні
milujem,я люблю
počul,чув
zdá,здається
skvelé,чудово
dobrá,добре
doma,вдома
znova,знову
koho,кому
hovoríš,ти кажеш
fakt,факт
och,ох
dvere,двері
zlatko,дитина
minút,хвилин
sebe,себе
nebolo,це не було
našiel,знайдено
chlap,хлопець
počúvaj,слухати
musieť,повинні
pekla,пекло
nebudem,Я не буду
okolo,навколо
riti,дупа
zabil,убитий
matka,мати
uh,ну
mŕtvy,мертвий
videla,вона побачила
dvaja,два
príde,прийде
nemôže,він не може
veľký,великий
vidíš,ви бачите
času,час
prišli,вони прийшли
tohto,цей
ideš,ти йдеш
našli,вони знайшли
tvoju,твоя
uvidíme,ми побачимо
číslo,номер
celé,ціле
sama,поодинці
haló,привіт
dom,будинок
čokoľvek,що завгодно
nemáš,ти не маєш
práca,працювати
musel,він повинен був
jedného,один
vrátiť,повернення
buď,або
potrebujeme,нам потрібно
taká,як то
nápad,ідея
otca,батько
slečna,Міс
celkom,цілком
nemyslím,Я так не думаю
cítim,я відчуваю
zbraň,зброя
života,життя
nebola,вона не була
svet,світ
noci,ночі
vonku,назовні
spraviť,робити
prišla,вона прийшла
moc,потужність
pokiaľ,хіба що
skutočne,дійсно
svete,світ
žiadny,немає
svojej,твоя
zlato,дитина
včera,вчора
dám,Я віддам
malý,маленький
pekne,приємно
koniec,кінець
the,в
ruky,руками
dôvod,причина
práce,працювати
co,що
rok,рік
volá,він дзвонить
počkať,чекати
ňu,її
odísť,залишити
nechať,залишити
tí,ті
stane,станеться
dnu,в
inak,інакше
prísť,прийти
ťažké,важко
ceste,дорога
zatiaľ,поки що
vtedy,в той час
najlepšie,найкращий
sebou,з собою
problémy,проблеми
pocit,почуття
prípade,справа
celú,ціле
možné,можливо
povedali,вони сказали
iste,впевнений
znovu,знову
dajte,дати
páni,панове
predsa,адже
dobrú,хороший
chlapec,хлопчик
roky,років
čím,що
istá,певний
ach,ох
dokonca,навіть
videli,вони бачили
žiť,жити
poďte,давай
niekde,десь
ďalší,ще один
iný,інший
vieme,ми знаємо
syn,син
spôsob,спосіб
nemáme,ми не маємо
toľko,так багато
poznám,я знаю
ňom,його
priateľ,друг
nemôžeme,ми не можемо
týždeň,тиждень
pozrieť,подивіться
brat,брат
boh,бог
nový,новий
spravil,він зробив
chlapci,хлопці
sakra,пекло
robíte,ви робите
zle,погано
tvojej,твоя
naša,наш
akoby,ніби
robím,я роблю
pekné,приємно
pôjdem,Я піду
cestu,шлях
ženy,жінки
zase,знову
znie,звуки
hodín,години
nimi,ними
oci,очі
oči,очі
dá,так
okrem,крім
chápem,я розумію
pripravený,готовий
chceli,вони хотіли
konečne,нарешті
telo,тіло
aká,що
mieste,місце
ano,так
mojom,моя
potrebuje,потреби
mojich,моя
veľké,великий
domu,будинок
priamo,безпосередньо
človeče,людина
počas,протягом
počkajte,чекати
nechceš,ти не хочеш
jediný,єдиний
kapitán,капітан
týchto,ці
rozumiem,я розумію
zdravím,вітання
môžu,вони можуть
slovo,слово
urobila,вона зробила
mohlo,міг би
smrť,смерть
nové,новий
krát,разів
príbeh,історія
robil,зробив
srdce,серце
chcú,вони хочуть
jednoducho,просто
hlavu,голова
drž,утримувати
muža,чоловік
porozprávať,розмовляти
choďte,йти
prípad,справа
plán,планувати
mimo,назовні
nepovedal,він не сказав
vedela,вона знала
isté,певний
neskoro,пізно
povedzte,сказати
tvojho,твоя
dostali,вони отримали
pravdepodobne,ймовірно
vašu,твоя
vecí,речі
svojich,свої власні
nechcel,він не хотів
živote,життя
ďalšie,наступний
ze,що
hrať,грати
john,Джон
rodina,родина
ženu,жінка
kámo,чувак
dôležité,важливо
dolárov,доларів
nejakú,деякі
týmto,цим
smrti,смерть
myslí,думає він
vziať,взяти
ticho,тиша
dni,днів
dome,до будинку
šancu,шанс
jo,так
veriť,вірити
sestra,сестра
starý,старий
päť,п'ять
nevieš,ти не знаєш
loď,корабель
odkiaľ,звідки
malé,маленький
mrzí,вибачте
našej,наш
ďaleko,далеко
new,новий
úžasné,чудовий
nemohol,він не міг
nevidel,він не бачив
okay,гаразд
obaja,вони обидва
šťastie,удача
všetkým,кожному
dvoch,два
nemali,вони не мали
žiadna,немає
dní,днів
dr.,доктор
nemala,вона не мала
potrebovať,потребувати
jedlo,харчування
zostať,залишитися
ktorého,чий
sam,поодинці
zmysel,сенс
rovnako,також
rokmi,роками
malo,мало
čoskoro,скоро
snažím,Я стараюсь
nechajte,залишити це
you,ти
treba,потрібно
hodiny,години
vyzeráš,ти дивишся
potrebuješ,вам потрібно
ocko,тато
strane,бік
dňa,день
dala,вона дала
yeah,так
nechal,він пішов
jediná,єдиний
zomrel,він помер
pracovať,працювати
madam,пані
priatelia,друзі
oveľa,багато
urobím,я зроблю
časť,частина
ó,о
ruku,руку
počuť,почути
zastaviť,щоб зупинитися
telefón,телефон
vašej,твоя
nikoho,ніхто
krv,кров
najprv,перший
nevedel,він не знав
najlepší,найкращий
našich,наш
takmer,майже
čau,до побачення
zem,землі
dostala,вона отримала
chyba,помилка
ktorých,який
začal,почав він
nemusíš,тобі не потрібно
mesta,міст
opäť,знову
urobili,вони зробили
ktorej,який
aha,ага
stačí,цього досить
správy,повідомлення
práci,працювати
charlie,Чарлі
láska,любов
išiel,він пішов
mesto,місто
jack,Джек
strach,страх
zlý,погано
volám,Я дзвоню
čase,час
školy,школи
chceme,ми хочемо
začať,почати
kamoš,приятель
našla,вона знайшла
neboj,не хвилюйся
tvár,обличчя
moji,моя
počula,вона почула
syna,син
zavolať,дзвонити
niekoľko,декілька
nevie,він не знає
zemi,землі
povieš,ти кажеш
rodinu,родина
našu,наш
pamätáš,ти пам'ятаєш
polícia,ПОЛІЦІЯ
nemôžete,ти не можеш
roku,рік
naspäť,назад
pôjdeme,ми підемо
štyri,чотири
poznáš,ви знаєте
odišiel,він пішов
sveta,світу
robia,вони роблять
chlape,людина
rozprávať,розмовляти
párty,вечірка
spať,спати
pekný,красивий
veľká,великий
verím,Я вірю
nerob,не роби
skutočnosti,факти
meste,місто
nemáte,ти не маєш
zbrane,зброї
dali,вони дали
auta,автомобілі
cesty,дороги
uveriť,вірити
zistiť,щоб дізнатися
nechce,не хоче
nakoniec,нарешті
chlapče,хлопчик
ono,це
mysli,розум
dcéra,дочка
pána,пан
všade,всюди
tou,один
vzal,взяв
zavolám,Я подзвоню
dievčatá,дівчата
blízko,поблизу
volal,він закликав
chcieť,хотіти
nášho,наш
akú,який вид
vypadni,вийти
myslieť,думати
šťastný,щасливий
vášho,твоя
naposledy,в останній раз
vidíte,ви бачите
šiel,він пішов
odkedy,відколи
radi,щасливий
neboli,вони не були
vedeli,вони знали
chlapík,хлопець
možnosť,варіант
ah,ах
hovorila,вона говорила
tím,команда
stať,стати
každého,кожен
vnútri,всередині
hlavy,голови
nejde,це не працює
cesta,спосіб
hodinu,годину
prvé,перший
vrátim,Я повернусь
jasne,ясно
menej,менше
nehovor,не розмовляй
peňazí,гроші
nebudeš,ти не будеш
čakať,чекати
urob,зробити це
žiaden,немає
um,гм
odtiaľ,звідти
muži,чоловіки
vrátil,повернувся
škole,школа
pol,половина
malá,маленький
hovoríte,ви говорите
večeru,вечеря
musela,вона повинна була
nejako,якось
okamžite,негайно
sex,секс
mojou,моя
poslal,надіслано
prvá,перший
záleží,це має значення
miesta,місць
druhý,другий
odo,від
snažil,пробував
iného,інший
michael,Майкл
ne,немає
sľubujem,я обіцяю
ha,га
hovoria,кажуть вони
šéf,бос
žije,він живе
skvelý,чудово
čoho,що
zachrániť,зберегти
šesť,шість
hovor,дзвінок
hubu,гриб
stratil,втрачено
nikomu,нікому
rovno,прямо
dostane,отримаєте
dolu,вниз
predstaviť,представити
rodičia,батьки
správu,повідомлення
musia,вони повинні
človeka,людина
výborne,відмінно
byt,плоский
stretnúť,зустрічатися
bež,бігати
spoločnosť,компанії
zomrieť,померти
poriadne,належним чином
posledný,останній
vezmi,взяти
ta,вона
rodiny,сім'ї
posledné,останній
strašne,жахливо
vráť,повернення
stojí,це коштує
chlapa,хлопець
jediné,єдиний
hmm,хм
odpoveď,відповідь
nohy,ноги
dámy,дами
náhodou,випадково
ľuďom,до людей
každú,кожен
joe,Джо
film,фільм
zostaň,залишитися
agent,агент
cítiš,ви відчуваєте
dávno,дуже давно
ver,ver
t,t
spoločné,поширений
otázka,запитання
začína,починається
manžel,чоловік
vravel,сказав він
jednej,один
nevadí,неважливо
napríklad,наприклад
svojom,твоя
právo,правильно
chlapi,хлопці
čaká,чекає
počuj,слухати
počúvajte,слухати
bojovať,воювати
rande,побачення
informácie,інформації
mesiac,місяць
držať,утримувати
zmeniť,змінитися
mužov,чоловіки
chodiť,ходити
ukáž,шоу
dostanem,я отримаю
zobrať,брати
zabili,вони вбили
tými,ті
nažive,живий
pohyb,рух
drahá,дорогий
tvojom,твоя
aute,автомобілі
milé,дорогий
zabudol,він забув
môcť,вміти
použiť,використовувати
blázon,божевільний
zavolaj,дзвінок
často,часто
stará,старий
brata,брат
existuje,воно існує
hey,привіт
dostaneme,ми отримаємо
šťastia,удача
vlasy,волосся
povie,каже він
bezpečí,безпеки
funguje,це працює
and,і
celá,ціле
druhej,другий
stretnutie,засідання
pripravená,готовий
mimochodom,між іншим
žiadnu,немає
pôjde,піде
ukázať,показати
boha,бог
nejaká,якийсь
snáď,можливо
divné,дивно
cítiť,відчувати
neverím,Я не вірю
čerta,диявол
nechcela,вона не хотіла
mesiacov,місяців
ostatní,інші
prisahám,клянусь
e,д
navždy,назавжди
pokoj,спокій
desať,десять
museli,вони повинні були
n,п
urobíme,ми зробимо
horšie,гірше
prestať,СТІЙ
nezáleží,це неважливо
priateľov,друзі
srandu,жартую
slová,слова
jesť,їсти
zvláštne,дивно
keďže,тоді як
sami,поодинці
preboha,ради бога
najskôr,якнайшвидше
robíme,ми робимо
všetkom,все
peter,Петро
pozrime,давай подивимось
hovorili,вони говорили
tvojich,твоя
vezmem,Я візьму його
zober,забрати
šaty,плаття
nedá,не можу
pokračovať,продовжувати
nerozumiem,я не розумію
trošku,трохи
chvíľku,момент
otcom,батько
získať,отримати
ospravedlňujem,мені шкода
poznáte,ви знаєте
začali,вони почали
ktorým,який
starosti,турботи
počuješ,ви чуєте
nemu,його
mojím,моя
hm,вага
priateľa,друг
otvor,отвір
lepší,краще
sarah,Сара
maj,травня
počuli,вони почули
títo,ці
dáš,ви даєте
kávu,кава
pracuje,він працює
stretol,зустрів
wow,вау
rozhodne,однозначно
ked,коли
ťažko,важко
vrah,вбивця
niekým,кимось
prídem,я прийду
vedia,вони знають
spoločnosti,компаній
nájdeme,ми знайдемо
dáva,дає
pamätám,Я пам'ятаю
pomaly,повільно
ktorom,який
stáť,стояти
preklad,переклад
týždne,тижнів
d,d
hlavne,в основному
nevieme,ми не знаємо
druh,видів
takú,такий
prestaňte,припини це
nepovedala,вона не сказала
nemajú,вони не мають
idiot,ідіот
pomôž,допомогти
krvi,кров
svetlo,світло
mŕtva,мертвий
vitajte,Ласкаво просимо
správa,повідомлення
obávam,я боюся
niektoré,деякі
prejsť,проходити
posledná,останній
jednoduché,простий
miláčik,кохана
otázky,запитання
zrazu,раптово
mysleli,вони думали
systém,система
nájdem,Я знайду
zvyšok,решта
spravila,вона зробила
bohu,бог
trocha,трохи
frank,відвертий
nemohla,вона не могла
robili,вони зробили
nebudeme,ми не будемо
pozerať,годинник
mike,Майк
hlave,голова
sen,мрія
vráti,повернеться
bolí,це боляче
skončil,закінчено
výber,вибір
kúpiť,купити
pracujem,я працюю
šanca,шанс
vody,води
niekomu,комусь
pracoval,він працював
vlastné,власні
začala,— почала вона
krásne,красива
chýba,відсутній
obchod,магазин
minulý,минуле
prichádza,наближається
spôsobom,спосіб
mnoho,багато
hra,гра
vraví,каже він
zbohom,до побачення
hlas,голос
takéto,як це
vydrž,тримайся
niektorí,деякі
hľadať,шукати
mladý,молодий
pôjdeš,ти підеш
nemocnice,лікарня
vodu,води
išla,вона пішла
kráľ,король
moment,момент
vedľa,поруч
snaží,намагаючись
zrejme,мабуть
pomôže,допоможе
otázku,питання
zabijem,я вб'ю
idú,вони йдуть
zachránil,він врятував
patrí,належить
pekná,красива
izbe,кімната
nechápem,я не розумію
osoba,людина
dokáže,він може
stal,став
zomrela,вона померла
vašich,твоя
nabudúce,наступного разу
potrebujete,вам потрібно
skús,спробувати
stretli,вони зустрілися
smiešne,смішно
dcéru,дочка
veľkú,великий
namiesto,замість
miestnosti,кімнати
dôkaz,доказ
dáme,ми дамо
pomohol,він допоміг
jedným,один
ľahké,легко
chápeš,ти розумієш
najviac,найбільше
yorku,Йорк
pomôžte,допоможіть будь ласка
názor,думка
osobne,особисто
normálne,нормально
rozumieš,ти розумієш
menom,по імені
tony,тонн
myslia,думають вони
svojim,свої власні
mesiace,місяців
mojim,моя
neexistuje,не існує
vzťah,відносини
posledných,останні
fbi,ФБР
skutočný,справжній
zistil,дізнався
otcovi,до батька
robila,вона зробила
tisíc,тисячі
sekúnd,секунд
zaujímavé,цікаво
pes,собака
kúsok,трохи
ľúbim,я люблю
chlapca,хлопчик
obed,обід
prachy,гроші
komu,до кого
očividne,очевидно
odišla,вона пішла
izby,кімнати
pripravení,готовий
rade,ради
neurobil,він цього не зробив
dovoliť,дозволяють
napriek,незважаючи на
hovno,лайно
cenu,ціна
nechám,Я дозволю
postele,ліжка
spýtať,запитати
mame,у нас є
nepáči,не подобається
nevidím,Я не бачу
zabudni,забудь це
george,Джордж
james,Джеймс
list,лист
niekam,десь
lode,кораблі
prvýkrát,перший раз
stavím,Я будую
ben,Бен
rozhodol,вирішив
nevedela,вона не знала
skutočné,справжній
dostaneš,ви отримаєте
zobral,взяв
rozdiel,різниця
môžme,ми можемо
vina,почуття провини
zopár,кілька
šťastná,щасливий
čomu,до чого
svojou,твоя
väčšina,більшість
počúvať,слухати
nepotrebujem,Мені не потрібно
ďalších,інші
ježiši,Ісус
budúcnosť,майбутнє
mobil,мобільний телефон
nebuď,не будь
stopy,доріжки
políciu,поліція
znamenať,означає
mamu,мама
novú,новий
ďakujeme,дякую
beriem,Я беру
dobe,ера
tajomstvo,секрет
pomôžem,Я допоможу
priateľka,подруга
pivo,пиво
zadok,дупа
detektív,детектив
it,це
sadni,сісти
krok,крок
bojím,я боюся
stretneme,ми зустрінемось
išli,вони пішли
kamarát,друг
ženou,жінка
dobu,час
vysvetliť,пояснювати
bolesť,біль
nikam,ніде
knihu,книга
kúpil,купив
gibbs,Гіббс
neviete,ти не знаєш
ľuďmi,людьми
dokážem,я можу
poručík,лейтенант
neznamená,не означає
prezident,президент
strýko,дядько
vravím,кажу я
idete,ти йдеш
dokážeš,ви можете
tamto,там
cítil,фетр
rozhodnutie,рішення
nestalo,не сталося
súčasťou,включені
záujem,інтерес
zaujíma,зацікавлений
vianoce,Різдво
henry,Генрі
načo,для чого
m,м
ostatné,інші
nemyslíš,ти не думаєш
milý,дорогий
nechala,вона пішла
ďalšiu,ще один
nedokážem,я не можу
opýtať,просити
dean,Дін
odkaz,посилання
predpokladám,Я припускаю
silu,сила
zoznam,список
poslať,відправити
nevidela,вона не бачила
akože,як
zabije,вбиває
troch,три
môjmu,до моєї
detí,дітей
skvelá,чудово
počujem,Я чую
drahý,дорогий
volala,— покликала вона
skončí,закінчиться
láskavosť,доброта
oboch,вони обидва
in,тощо
začiatku,початок
hru,гра
david,Девід
zavolal,він закликав
don,дон
staré,старий
urobíš,ви зробите
najlepšia,найкращий
volať,дзвонити
voda,води
vraždy,вбивств
walter,Вальтер
druhú,другий
baby,дитина
kedysi,колись давно
ďalšia,ще один
tadiaľto,таким чином
smerom,напрямок
opatrne,ретельно
zničiť,знищувати
ryan,Райан
veliteľ,командир
alex,Алекс
sedieť,сидіти
sedem,сім
vojna,війни
podarilo,вдалося
stoj,стояти
dávaj,дати
konci,закінчується
časti,частин
tomuto,до цього
matku,мати
úprimne,чесно
miliónov,мільйони
zomrie,вмирає
sledovať,слідувати
schopný,здатний
of,з
pravidlá,правила
typ,типу
miluje,любить
šialené,божевільний
paul,Павло
nového,новий
claire,Клер
konca,кінець
bill,рахунок
prekvapenie,сюрприз
city,почуття
kľúč,ключ
hrozné,жахливий
hry,ігри
iných,інші
pusti,відпустити
ktokoľvek,хто завгодно
očí,очі
málo,мало
mozog,мозок
všetkého,все
občas,час від часу
celom,ціле
škoda,шкода
vraj,нібито
hlava,голова
otvoriť,щоб відкрити
posteli,ліжко
nejakého,деякі
jimmy,Джиммі
rodine,до родини
ukážem,Я покажу
vašom,твоя
zábava,веселощі
prídu,вони прийдуть
hoci,хоча
pokoji,заспокойся
nemožné,неможливо
kľud,спокій
tváre,обличчя
začne,почнеться
nová,новий
nebudú,вони не будуть
napísal,написав
lásku,любов
napadlo,думав
záznamy,записи
našom,наш
vidíme,ми бачимо
pochopiť,щоб зрозуміти
knihy,книги
spravili,вони зробили
hľadám,Я шукаю
fotky,фотографії
neznášam,Я ненавиджу це
signál,сигнал
potreboval,він потребував
nemocnici,лікарня
dlhšie,довше
celej,ціле
skončila,— закінчила вона
nezaujíma,не цікавить
voláš,ти дзвониш
rozhovor,інтерв'ю
urobí,буде робити
ostatných,інші
zabila,вона вбила
chybu,помилка
malú,маленький
podstate,по суті
skúsiť,спробувати
uz,вже
nemohli,вони не могли
svojím,зі своїм власним
su,є
postarám,Я подбаю
nechcete,ти не хочеш
lodi,корабель
dokopy,разом
nestane,не станеться
tvoji,твоя
me,мене
fungovať,функціонувати
nemôžu,вони не можуть
darí,добре
darček,подарунок
tvojou,твоя
plukovník,полковник
dvoma,два
seržant,сержант
bob,боб
dohodu,угода
šéfe,бос
poslednej,останній
prístup,підхід
policajt,поліцейський
drogy,наркотики
richard,Річард
dokázal,він довів
vojny,війни
každom,кожен
ľahko,легко
hádam,Я здогадуюсь
topánky,взуття
obeť,жертва
vzali,вони взяли
cieľ,мета
nebezpečné,небезпечний
väzenia,в'язниці
rokoch,років
osem,вісім
nieje,це не так
sekundu,секунду
inú,інший
problémov,проблеми
držte,тримайся
tela,тіло
vlastnú,власні
ohľadom,щодо
kevin,кевін
stačilo,цього було достатньо
rýchlejšie,швидше
druhé,другий
trvať,взяти
víkend,вихідні
lieky,препарати
vzala,вона взяла
jake,Джейк
la,ля
ihneď,негайно
šla,вона пішла
dna,подагра
stratili,вони програли
chodí,він ходить
prídeš,ти прийдеш
lietadlo,літак
pozornosť,уваги
ulici,вулиця
priniesol,принесли
skončili,вони закінчили
pokračuj,продовжуй
vlastný,власні
uprostred,в середині
doktora,лікар
mužom,чоловіки
mary,Мері
rozkaz,порядок
báť,страх
chalani,хлопці
každé,кожен
týka,побоювання
pohľad,переглянути
dvakrát,двічі
príležitosť,можливість
kancelárie,офіси
naučil,навчив
cestou,в дорозі
druhá,другий
titulky,субтитри
čakal,він чекав
osud,доля
jednom,один раз
bližšie,ближче
ostať,залишитися
vzduchu,повітря
zmenil,змінено
potrebujú,вони потребують
manžela,чоловік
chorý,хворий
generál,загальний
pozriem,Я побачу
bastard,сволота
hovoríme,ми говоримо
upokoj,заспокойся
profesor,професор
kľúče,ключі
ukradol,вкрали
taktiež,також
narodeniny,день народження
životy,життя
tommy,Томмі
niet,немає
požiadal,запитав він
psa,собака
spravím,я зроблю
vzadu,в спину
vtipné,смішно
ježiš,Ісус
izbu,кімната
povolenie,дозвіл
gratulujem,вітаю
nepoznám,не знаю
opustiť,залишити
rodičov,батьки
naši,наш
rovnaké,те саме
začiatok,початок
buďte,бути
vyzerať,дивитися
huh,га
skvele,чудово
krajine,країна
stranu,бік
nevideli,вони не бачили
netuším,Я поняття не маю
útok,напад
uvidíš,ти побачиш
dávať,дарувати
súd,суд
oheň,вогонь
nemyslel,він не думав
budúcnosti,майбутнього
strany,партії
vraždu,вбивство
show,шоу
pustite,відпустити
dôkazy,докази
zvyčajne,зазвичай
krásna,красива
budúci,майбутнє
alan,алан
ublížiť,боляче
danny,Денні
nim,їх
zlá,погано
vtip,жарт
matky,матерів
nick,нік
srdca,серце
trvalo,це тривало
neuveriteľné,неймовірно
will,буде
veku,вік
sranda,смішно
stôl,стіл
mŕtvi,мертві
test,тест
svojmu,до свого
zavolajte,дзвінок
stala,став
naučiť,навчати
udržať,підтримувати
vyhral,виграв
zabudla,вона забула
jim,їх
vybrať,вибрати
vrátila,вона повернулася
boj,боротися
zdravie,здоров'я
úžasný,чудовий
dovnútra,всередині
minulosti,минуле
minulú,останній
nenávidím,я ненавиджу
nepočul,він не почув
večera,вечеря
poviete,ти кажеш
kate,Кейт
c,в
chris,Кріс
nemusíte,тобі не потрібно
pripraviť,підготувати
zas,знову
každá,кожен
vravela,сказала вона
uvidím,Я побачу
vezmite,взяти
rukách,руками
čaj,чай
amy,Емі
nemusí,це не обов'язково
video,відео
dievčatko,маленька дівчинка
krajiny,країни
začalo,це почалося
silný,сильний
platí,застосовується
sklapni,заткнись
nádherné,чудовий
brať,взяти
plný,повний
bolesti,біль
poslali,вони надіслали
páčiť,подобатися
zápas,матч
harry,гаррі
decko,дитина
teší,щасливий
oblasti,область
šli,вони пішли
týždňov,тижнів
snažila,вона спробувала
sestru,сестра
chuť,смак
vedie,призводить
fotku,фото
jane,Джейн
vitaj,Ласкаво просимо
nádej,надія
prešiel,пройшли
dlhý,довго
pieseň,пісня
kriste,Христос
väzení,в'язниця
druhého,другий
lásky,любові
klamal,збрехав
pozná,знає
bobby,Боббі
matt,Метт
dovidenia,до побачення
iným,до інших
išlo,це пішло
zaplatiť,платити
kus,шматок
žene,жінка
milovať,любити
kedykoľvek,в будь-який час
dar,подарунок
súhlasím,погоджуюсь
stratila,вона програла
vybral,вибрав
plné,повний
miluješ,ти любиш
schopnosti,здібності
hlúpy,дурний
obete,жертви
mená,імена
navzájom,один одного
mozgu,мозок
absolútne,абсолютно
kim,Кім
navyše,крім того
decká,діти
doktorka,лікар
hlúpe,дурний
traja,три
nechali,вони пішли
hrozne,жахливий
zbaviť,позбутися
